BTC,USD,EUR,DateTime
0.01779,127.81,115.07,2019-12-21 20:29:52.663184
0.01779,127.81,115.07,2019-12-21 20:29:54.536848
0.01779,127.81,115.07,2019-12-21 20:29:56.359351
0.01779,127.81,115.07,2019-12-21 20:29:57.890018
